,0,1
252,NA,404
253,NA,404
254,NA,404
255,NA,404
256,NA,404
257,NA,404
258,NA,404
259,NA,404
260,NA,404
261,NA,404
262,NA,404
263,NA,404
264,NA,404
265,NA,404
266,NA,404
267,NA,404
268,NA,404
269,NA,404
270,NA,404
271,NA,404
272,NA,404
273,NA,404
274,NA,404
275,NA,404
276,NA,404
277,NA,404
278,NA,404
279,NA,404
280,NA,404
281,NA,404
282,NA,404
283,NA,404
284,NA,404
285,NA,404
286,NA,404
287,NA,404
288,NA,404
289,NA,404
290,NA,404
291,NA,404
292,NA,404
293,NA,404
294,NA,404
295,NA,404
296,NA,404
297,NA,404
298,NA,404
299,NA,404
300,NA,404
301,NA,404
302,NA,404
303,NA,404
304,NA,404
305,NA,404
306,NA,404
307,NA,404
308,NA,404
309,NA,404
310,NA,404
311,NA,404
312,NA,404
313,NA,404
314,NA,404
315,NA,404
316,NA,404
317,NA,404
318,NA,404
319,NA,404
320,NA,404
321,NA,404
322,NA,404
323,NA,404
324,NA,404
325,NA,404
326,NA,404
327,NA,404
328,NA,404
329,NA,404
330,NA,404
331,NA,404
332,NA,404
333,NA,404
334,NA,404
335,NA,404
336,NA,404
337,NA,404
338,NA,404
339,NA,404
340,NA,404
341,NA,404
342,NA,404
343,NA,404
344,NA,404
345,NA,404
346,NA,404
347,NA,404
348,NA,404
349,NA,404
350,NA,404
351,NA,404
352,NA,404
353,NA,404
354,NA,404
355,NA,404
356,NA,404
357,NA,404
358,NA,404
359,NA,404
360,NA,404
361,NA,404
362,NA,404
363,NA,404
364,NA,404
365,NA,404
366,NA,404
367,NA,404
368,NA,404
369,NA,404
370,NA,404
371,NA,404
372,NA,404
373,NA,404
374,NA,404
375,NA,404
376,NA,404
377,NA,404
378,NA,404
379,NA,404
380,NA,404
381,NA,404
382,NA,404
383,NA,404
384,NA,404
385,NA,404
386,NA,404
387,NA,404
388,NA,404
389,NA,404
390,NA,404
391,NA,404
392,NA,404
393,NA,404
394,NA,404
395,NA,404
396,NA,404
397,NA,404
398,NA,404
399,NA,404
400,NA,404
401,NA,404
402,NA,404
403,NA,404
404,NA,404
405,NA,404
406,NA,404
407,NA,404
408,NA,404
409,NA,404
410,NA,404
411,NA,404
412,NA,404
413,NA,404
414,NA,404
415,NA,404
416,NA,404
417,NA,404
418,NA,404
419,NA,404
420,NA,404
421,NA,404
422,NA,404
423,NA,404
424,NA,404
425,NA,404
426,NA,404
427,NA,404
428,NA,404
429,NA,404
430,NA,404
431,NA,404
432,NA,404
433,NA,404
434,NA,404
435,NA,404
436,NA,404
437,NA,404
438,NA,404
439,NA,404
440,NA,404
441,NA,404
442,NA,404
443,NA,404
444,NA,404
445,NA,404
446,NA,404
447,NA,404
448,NA,404
449,NA,404
450,NA,404
451,NA,404
452,NA,404
453,NA,404
454,NA,404
455,NA,404
456,NA,404
457,NA,404
458,NA,404
459,NA,404
460,NA,404
461,NA,404
462,NA,404
463,NA,404
464,NA,404
465,NA,404
466,NA,404
467,NA,404
468,NA,404
469,NA,404
470,NA,404
471,NA,404
472,NA,404
473,NA,404
474,NA,404
475,NA,404
476,NA,404
477,NA,404
478,NA,404
479,NA,404
480,NA,404
481,NA,404
482,NA,404
483,NA,404
484,NA,404
485,NA,404
486,NA,404
487,NA,404
488,NA,404
489,P08107,300
490,P08107,300
491,P62158,300
492,P62158,300
493,P62158,300
494,P62158,300
495,P62158,300
496,P62158,300
497,P62158,300
498,Q9Y2S0,300
499,Q9Y2S0,300
500,Q9Y2S0,300
